124,2,51,Configuration Change,"Configuration Para ID,MAP,1,5358,","Configuration Before Changed,U16,1,0,","Configuration After Changed,U16,1,0,","{""evt_id"":{""5358"":""Precharge  Stop Time"",""5359"":""Precharge  Stop Current "",""5360"":""Reserved Sensor Range"",""5361"":""String Battery Rated capacity"",""5362"":""Min Detection Current"",""5363"":""String Battery Fully-CHG Hysteresis"",""5364"":""String Battery Empty-DSG Hysteresis"",""5365"":""Environmental Control Temperature Hysteresis"",""5366"":""Temp Ambient Upper Limit"",""5367"":""Temp Ambient Lower Limit"",""5368"":""String Battery SOC Upper Limit"",""5369"":""String Battery SOC Lower Limit"",""5370"":""String Pole OT Alarm "",""5371"":""String Pole OT Fault"",""5372"":""String Battery INS RES Alarm"",""5373"":""String Battery leakage Current Alarm"",""5374"":""Cell DIff Alarm"",""5375"":""Cell DIff Fault"",""5376"":""Cell OV Alarm"",""5377"":""Cell OV Falut"",""5378"":""Cell UV Alarm"",""5379"":""Cell UV Fault"",""5380"":""Cell OT Alarm"",""5381"":""Cell OT Fault"",""5382"":""Cell UT Alarm"",""5383"":""Cell UT Fault"",""5384"":""Cell Temperature Diff Alarm "",""5385"":""Cell Temperature Diff Fault"",""5386"":""Cell Temperature Rise Alarm "",""5387"":""Cell Temperature Rise Fault"",""5388"":""PackPole OT Alarm"",""5389"":""PackPole OT Fault"",""5390"":""CHG/DSG OC Alarm"",""5391"":""CHG/DSG OC Fault"",""5392"":""Short-Circuit Current Fault"",""5393"":""String OV Alarm"",""5394"":""String OV Fault"",""5395"":""String UV Alarm"",""5396"":""String UV Fault"",""5397"":""String Battery INS RES Fault"",""5398"":""String Battery leakage Current Fault"",""5399"":""Alarm Delay"",""5400"":""Protection Delay"",""5401"":""String Battery Capacity"",""5402"":""String Battery Calibrated Capacity"",""5403"":""String Battery Remain Power"",""5404"":""CHG/DSG Rated Current "",""5405"":""Current Sensor Range"",""5406"":""leakage Current Sensor Range"",""5407"":""Voltage Sensor Range"",""5408"":""Battery Balance Mode"",""5409"":""Balance Config/Threshold"",""5410"":""Balance Start Voltage Diff"",""5411"":""Num of String Packs"",""5412"":""Num of BMU Cell Volt"",""5413"":""Num of BMU Cell Temperature "",""5414"":""Num of BMU Pole Temperature"",""5415"":""nBC Alarm Masking Bits"",""5416"":""nBC Fault Masking Bits"",""5417"":""CMU Function Enable Bits 1 "",""5418"":""IP Addr Lower Byte"",""5419"":""IP Addr Higher Byte "",""5420"":""NTP Server Addr Lower Byte"",""5421"":""NTP Server Addr Higher Byte"",""5422"":""Data Masking Bits 1"",""5423"":""Data Masking Bit 2"",""5424"":""Data Masking Bits 3"",""5425"":""Data Masking Bits 4"",""5426"":""System Fault Masking Bits 1"",""5427"":""System Fault Masking Bits 2"",""5428"":""System Alarm  Masking Bits 1"",""5429"":""System Alarm  Masking Bits 2"",""5430"":""CMU Function Enable Bits 2"",""5431"":""Fully-CHG/Empty-DSG String Voltage Hysteresis"",""5432"":""Cell Voltage Data Masking Bits"",""5433"":""Temperature Data Masking Bits""}}"
125,2,52,CMU Upgrade Verify Failed,,,,
126,2,53,CMU Upgrade Successed,,,,
127,2,54,CMU Upgrade Download Failed,,,,
128,2,55,BMU Fault,"Fault BMU ID,U16,1,0,",,"Fault status,BIN,1,0,",
129,2,56,Remote IO Control(Modbus),",MAP","Remote IP,U16,1,0,",",MAP","{""evt_id"":{""0"":""KM+"",""1"":""KM-"",""2"":""KMR"",""3"":""QF"",""4"":""Integrated Cmd""},""evt_threshold"":{""43605"":"" Switch On "",""21930"":"" Switch Off ""}}"
130,2,57,External Hardware QF Tripping Action,,,,
131,2,58,System AC Power Down,,,,
132,2,59,BMU Fault Reversion,"Reversion BMU ID,U16,1,0,",,,
133,2,60,Precharge Failed,,"Current ,I16,0.1,0,A","Precharge Current Limit Value,I16,0.1,0,A",
134,2,61,Cell Voltage Wire-Open Reversion,"Reversion BMU ID,U16,1,0,",,,
135,2,62,Temperature Wire-Open Reversion,"Reversion BMU ID,U16,1,0,",,,
136,2,63,String Pole OT Protection,"Max Pole Temperature ID,U16,1,0,","Max Pole Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
137,2,64,String Pole OT Alarm,"Max Pole Temperature ID,U16,1,0,","Max Pole Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
